fund,action,rank,client_key,business_relationship,country,segment,score,current_target_aum_eur,total_relationship_aum_eur,reason_1,reason_2,reason_3
EdR Fund Emerging Credit,defend,17,UBS AG - CUSTODIAN | SWITZERLAND | Bank / Retail,UBS AG - CUSTODIAN,SWITZERLAND,Bank / Retail,71.56,5604447.0,17228348.0,large installed holding in the target fund,large existing EdRAM relationship,fund already shows product-market fit in this country
EdR Fund Emerging Credit,defend,18,SIX SIS LTD (ex SEGA INTERSETTLE) | SWITZERLAND | Bank / Trading Platform,SIX SIS LTD (ex SEGA INTERSETTLE),SWITZERLAND,Bank / Trading Platform,71.37,1159228.0,1631231.0,large installed holding in the target fund,target fund already matters within this relationship,large existing EdRAM relationship
EdR Fund Emerging Credit,defend,19,EDR SUISSE - GENEVE / Not Managed | SWITZERLAND | Bank / EdR Private Banking,EDR SUISSE - GENEVE / Not Managed,SWITZERLAND,Bank / EdR Private Banking,71.25,5288792.0,71028472.0,large installed holding in the target fund,large existing EdRAM relationship,fund already shows product-market fit in this country
EdR Fund Emerging Credit,defend,20,EDRAM FUNDS | WORLD | AM company / EdR Fund of Funds,EDRAM FUNDS,WORLD,AM company / EdR Fund of Funds,71.1,26181378.0,730478739.0,large installed holding in the target fund,large existing EdRAM relationship,broad wallet makes the relationship commercially important
EdR Fund Emerging Credit,defend,21,GESTAIA FINANCE S.A. | SWITZERLAND | Independant Financial Advisor,GESTAIA FINANCE S.A.,SWITZERLAND,Independant Financial Advisor,70.91,175531.0,175531.0,large installed holding in the target fund,target fund already matters within this relationship,fund already shows product-market fit in this country
EdR Fund Emerging Credit,defend,22,"SINERGIA ADVISORS 2006, A.V., S.A. | SPAIN | Independant Financial Advisor","SINERGIA ADVISORS 2006, A.V., S.A.",SPAIN,Independant Financial Advisor,70.83,4115414.0,4115416.0,large installed holding in the target fund,target fund already matters within this relationship,large existing EdRAM relationship
EdR Fund Emerging Credit,defend,23,"EDR SUISSE, REPRESENTATIVE OFFICE ISRAEL / Advisory | ISRAEL | Bank / EdR Private Banking","EDR SUISSE, REPRESENTATIVE OFFICE ISRAEL / Advisory",ISRAEL,Bank / EdR Private Banking,69.66,1434874.0,4506838.0,large installed holding in the target fund,large existing EdRAM relationship,fund already shows product-market fit in this country
EdR Fund Emerging Credit,defend,24,"EDR SUISSE, SUCCURSALE DE LUGANO / Advisory | SWITZERLAND | Bank / EdR Private Banking","EDR SUISSE, SUCCURSALE DE LUGANO / Advisory",SWITZERLAND,Bank / EdR Private Banking,69.58,3072370.0,58789474.0,large installed holding in the target fund,large existing EdRAM relationship,fund already shows product-market fit in this country
EdR Fund Emerging Credit,defend,25,ROTHSCHILD BANK AG / ALLFUNDS INTERN | SWITZERLAND | Bank / Private Banking,ROTHSCHILD BANK AG / ALLFUNDS INTERN,SWITZERLAND,Bank / Private Banking,69.18,336412.0,336412.0,large installed holding in the target fund,target fund already matters within this relationship,fund already shows product-market fit in this country
EdR Fund Emerging Credit,cross_sell,1,SWISSQUOTE BANK SA - CUSTODIAN | SWITZERLAND | Bank / Online Broker,SWISSQUOTE BANK SA - CUSTODIAN,SWITZERLAND,Bank / Online Broker,53.53,-41413.0,-37510.0,client already uses adjacent sleeves/products,segment is a natural fit for this fund,fund already shows product-market fit in this country
EdR Fund Emerging Credit,cross_sell,2,SG M&R SA | SWITZERLAND | Independant Financial Advisor,SG M&R SA,SWITZERLAND,Independant Financial Advisor,51.58,0.0,1108230.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EdR Fund Emerging Credit,cross_sell,3,VCT - VECTOR GESTION SA | SWITZERLAND | Independant Financial Advisor,VCT - VECTOR GESTION SA,SWITZERLAND,Independant Financial Advisor,51.51,0.0,8333385.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EdR Fund Emerging Credit,cross_sell,4,CITADEL FINANCE SA | SWITZERLAND | Independant Financial Advisor,CITADEL FINANCE SA,SWITZERLAND,Independant Financial Advisor,50.75,0.0,1722419.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EdR Fund Emerging Credit,cross_sell,5,FILOTIMO ASSET MANAGEMENT SA | SWITZERLAND | Independant Financial Advisor,FILOTIMO ASSET MANAGEMENT SA,SWITZERLAND,Independant Financial Advisor,50.73,0.0,206012.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EdR Fund Emerging Credit,cross_sell,6,SYNERGY ASSET MANAGEMENT SA | SWITZERLAND | Independant Financial Advisor,SYNERGY ASSET MANAGEMENT SA,SWITZERLAND,Independant Financial Advisor,50.72,0.0,1114026.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EdR Fund Emerging Credit,cross_sell,7,INSIGNEO ASESOR INTERNACIONAL SA / NSCC | URUGUAY | Corporate,INSIGNEO ASESOR INTERNACIONAL SA / NSCC,URUGUAY,Corporate,49.5,0.0,905500.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EdR Fund Emerging Credit,cross_sell,8,OCTOGONE GESTION SA | SWITZERLAND | Single Family Office,OCTOGONE GESTION SA,SWITZERLAND,Single Family Office,49.28,0.0,433112.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EdR Fund Emerging Credit,cross_sell,9,Altitude Investment Solutions | SWITZERLAND | Independant Financial Advisor,Altitude Investment Solutions,SWITZERLAND,Independant Financial Advisor,49.14,0.0,426928.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EdR Fund Emerging Credit,cross_sell,10,PIC FINANCE SA | SWITZERLAND | Independant Financial Advisor,PIC FINANCE SA,SWITZERLAND,Independant Financial Advisor,49.09,0.0,1372460.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EdR Fund Emerging Credit,cross_sell,11,GEREMANT SA | SWITZERLAND | Independant Financial Advisor,GEREMANT SA,SWITZERLAND,Independant Financial Advisor,49.06,0.0,317133.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EdR Fund Emerging Credit,cross_sell,12,ARCORA GESTION SA | SWITZERLAND | Independant Financial Advisor,ARCORA GESTION SA,SWITZERLAND,Independant Financial Advisor,48.77,0.0,1064956.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EdR Fund Emerging Credit,cross_sell,13,EDR MONACO / Managed | MONACO | Bank / EdR Private Banking,EDR MONACO / Managed,MONACO,Bank / EdR Private Banking,48.75,0.0,237119088.0,segment is a natural fit for this fund,large existing EdRAM relationship,client already uses adjacent sleeves/products
EdR Fund Emerging Credit,cross_sell,14,KENDRA SECURITIES HOUSE SA | SWITZERLAND | Independant Financial Advisor,KENDRA SECURITIES HOUSE SA,SWITZERLAND,Independant Financial Advisor,48.73,0.0,305988.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EdR Fund Emerging Credit,cross_sell,15,PRIMUS GESTIONE PATRIMONIALE SA | SWITZERLAND | Independant Financial Advisor,PRIMUS GESTIONE PATRIMONIALE SA,SWITZERLAND,Independant Financial Advisor,48.21,0.0,1235017.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EdR Fund Emerging Credit,cross_sell,16,HYPOSWISS ADVISORS | SWITZERLAND | Independant Financial Advisor,HYPOSWISS ADVISORS,SWITZERLAND,Independant Financial Advisor,47.98,0.0,877075.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EdR Fund Emerging Credit,cross_sell,17,PLEION SA | SWITZERLAND | Independant Financial Advisor,PLEION SA,SWITZERLAND,Independant Financial Advisor,47.87,0.0,62005.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,fund already shows product-market fit in this country
EdR Fund Emerging Credit,cross_sell,18,EDR EUROPE - CUSTODIAN | LUXEMBOURG | Bank / EdR Private Banking,EDR EUROPE - CUSTODIAN,LUXEMBOURG,Bank / EdR Private Banking,47.43,0.0,27093698.0,segment is a natural fit for this fund,large existing EdRAM relationship,client already uses adjacent sleeves/products
EdR Fund Emerging Credit,cross_sell,19,ADDVISION WEALTH MANAGEMENT SA | SWITZERLAND | Multi Familly Office / Wealth manager,ADDVISION WEALTH MANAGEMENT SA,SWITZERLAND,Multi Familly Office / Wealth manager,47.31,0.0,327449.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EdR Fund Emerging Credit,cross_sell,20,INVESTISSEMENTS 46 | SWITZERLAND | Independant Financial Advisor,INVESTISSEMENTS 46,SWITZERLAND,Independant Financial Advisor,46.99,0.0,425061.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EdR Fund Emerging Credit,cross_sell,21,Banque Pictet & Cie SA Custodian | SWITZERLAND | Bank / Private Banking,Banque Pictet & Cie SA Custodian,SWITZERLAND,Bank / Private Banking,46.58,0.0,2502075.0,client already uses adjacent sleeves/products,large existing EdRAM relationship,segment is a natural fit for this fund
EdR Fund Emerging Credit,cross_sell,22,NextGen Wealth Managers SA | SWITZERLAND | Independant Financial Advisor,NextGen Wealth Managers SA,SWITZERLAND,Independant Financial Advisor,45.77,0.0,115789.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,fund already shows product-market fit in this country
EdR Fund Emerging Credit,cross_sell,23,SUNPARTNERS SA (GENEVE) | SWITZERLAND | Independant Financial Advisor,SUNPARTNERS SA (GENEVE),SWITZERLAND,Independant Financial Advisor,45.17,0.0,15039.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,fund already shows product-market fit in this country
EdR Fund Emerging Credit,cross_sell,24,EDRIS-MIZRAHI 0 | ISRAEL | Bank / Private Banking,EDRIS-MIZRAHI 0,ISRAEL,Bank / Private Banking,45.15,0.0,652181.0,client already uses adjacent sleeves/products,segment is a natural fit for this fund,large existing EdRAM relationship
EdR Fund Emerging Credit,cross_sell,25,SG PRIVATE BANKING (SUISSE) SA - CUSTODIAN | SWITZERLAND | Bank / Private Banking,SG PRIVATE BANKING (SUISSE) SA - CUSTODIAN,SWITZERLAND,Bank / Private Banking,44.88,-93122.0,2079707.0,client already uses adjacent sleeves/products,segment is a natural fit for this fund,large existing EdRAM relationship
EdR Fund Emerging Credit,new_allocation,1,HELVETIC INVESTOR GROUP (ex INVESTOR GESTION SA) | SWITZERLAND | Independant Financial Advisor,HELVETIC INVESTOR GROUP (ex INVESTOR GESTION SA),SWITZERLAND,Independant Financial Advisor,80.76,0.0,602485.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EdR Fund Emerging Credit,new_allocation,2,CHENTON SA | SWITZERLAND | Independant Financial Advisor,CHENTON SA,SWITZERLAND,Independant Financial Advisor,76.93,0.0,17655433.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EdR Fund Emerging Credit,new_allocation,3,PR1ME AQUILA PARTNERS AG | SWITZERLAND | Independant Financial Advisor,PR1ME AQUILA PARTNERS AG,SWITZERLAND,Independant Financial Advisor,76.02,0.0,2350742.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EdR Fund Emerging Credit,new_allocation,4,ERAFP (Investment Advice) | FRANCE | Pension Fund / Employee Saving Scheme,ERAFP (Investment Advice),FRANCE,Pension Fund / Employee Saving Scheme,72.25,0.0,104673877.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EdR Fund Emerging Credit,new_allocation,5,KEANE MATHEZ & CIE | SWITZERLAND | Independant Financial Advisor,KEANE MATHEZ & CIE,SWITZERLAND,Independant Financial Advisor,72.03,0.0,651354.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EdR Fund Emerging Credit,new_allocation,6,WREN INVESTMENT OFFICE | UNITED KINGDOM | Multi Familly Office / Wealth manager,WREN INVESTMENT OFFICE,UNITED KINGDOM,Multi Familly Office / Wealth manager,72.02,0.0,16295357.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EdR Fund Emerging Credit,new_allocation,7,EPSOR (Marque de FREMAVI SAS) | FRANCE | Independant Financial Advisor,EPSOR (Marque de FREMAVI SAS),FRANCE,Independant Financial Advisor,71.78,0.0,20529671.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EdR Fund Emerging Credit,new_allocation,8,"EDR FRANCE, EDRAC / AXA FRANCE VIE (Technical) | FRANCE | Bank / EdR Private Banking","EDR FRANCE, EDRAC / AXA FRANCE VIE (Technical)",FRANCE,Bank / EdR Private Banking,69.92,0.0,19536434.0,large existing EdRAM relationship,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve
EdR Fund Emerging Credit,new_allocation,9,SEPT FINANCE SA | SWITZERLAND | Independant Financial Advisor,SEPT FINANCE SA,SWITZERLAND,Independant Financial Advisor,69.91,0.0,785335.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EdR Fund Emerging Credit,new_allocation,10,AURETAS family trust GmbH | GERMANY | Single Family Office,AURETAS family trust GmbH,GERMANY,Single Family Office,68.95,0.0,22433242.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EdR Fund Emerging Credit,new_allocation,11,"EDR EUROPE, REPRESENTATIVE OFFICE ISRAEL / Managed | ISRAEL | Bank / EdR Private Banking","EDR EUROPE, REPRESENTATIVE OFFICE ISRAEL / Managed",ISRAEL,Bank / EdR Private Banking,68.66,0.0,339496.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EdR Fund Emerging Credit,new_allocation,12,NORTIA LA MONDIALE / ALLFUNDS | FRANCE | Independant Financial Advisor,NORTIA LA MONDIALE / ALLFUNDS,FRANCE,Independant Financial Advisor,68.45,0.0,16427742.0,segment is a natural fit for this fund,large existing EdRAM relationship,low current exposure leaves whitespace for a new sleeve
EdR Fund Emerging Credit,new_allocation,13,ALIAS PARTNERS SA | SWITZERLAND | Independant Financial Advisor,ALIAS PARTNERS SA,SWITZERLAND,Independant Financial Advisor,67.41,0.0,29172.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EdR Fund Emerging Credit,new_allocation,14,1875 FINANCE | SWITZERLAND | Independant Financial Advisor,1875 FINANCE,SWITZERLAND,Independant Financial Advisor,67.2,0.0,25225.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EdR Fund Emerging Credit,new_allocation,15,NORTIA INVEST / NO REBATE | FRANCE | Independant Financial Advisor,NORTIA INVEST / NO REBATE,FRANCE,Independant Financial Advisor,66.65,0.0,1134364.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EdR Fund Emerging Credit,new_allocation,16,MDEF GESTEFIN S.A / BANCO INVERSIS | SPAIN | Multi Familly Office / Wealth manager,MDEF GESTEFIN S.A / BANCO INVERSIS,SPAIN,Multi Familly Office / Wealth manager,65.92,0.0,7877733.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EdR Fund Emerging Credit,new_allocation,17,DUBLY DOUILHET | FRANCE | Independant Financial Advisor,DUBLY DOUILHET,FRANCE,Independant Financial Advisor,65.86,0.0,56478.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EdR Fund Emerging Credit,new_allocation,18,EDRIS-LEUMI 0 | ISRAEL | Bank / Private Banking,EDRIS-LEUMI 0,ISRAEL,Bank / Private Banking,65.19,0.0,569602.0,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship,segment is a natural fit for this fund
EdR Fund Emerging Credit,new_allocation,19,EZFUNDS SECURITIES INVESTMENT CONSULTING ENTERPRISE | TAIWAN | Independant Financial Advisor,EZFUNDS SECURITIES INVESTMENT CONSULTING ENTERPRISE,TAIWAN,Independant Financial Advisor,64.99,0.0,828593.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EdR Fund Emerging Credit,new_allocation,20,FUNDSYES INVESTMENT ADVISORS CO LTD . | TAIWAN | Independant Financial Advisor,FUNDSYES INVESTMENT ADVISORS CO LTD .,TAIWAN,Independant Financial Advisor,64.91,0.0,109585.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EdR Fund Emerging Credit,new_allocation,21,ERES GESTION | FRANCE | AM company / Fund of Funds,ERES GESTION,FRANCE,AM company / Fund of Funds,64.82,0.0,18513306.0,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship,segment is a natural fit for this fund
EdR Fund Emerging Credit,new_allocation,22,ARGENTA SPAARBANK - BELGIQUE | BELGIUM | Bank / Retail,ARGENTA SPAARBANK - BELGIQUE,BELGIUM,Bank / Retail,64.71,0.0,15572652.0,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship,segment is a natural fit for this fund
EdR Fund Emerging Credit,new_allocation,23,FINANCIERE HIGHGATE SA | SWITZERLAND | AM company / Independant,FINANCIERE HIGHGATE SA,SWITZERLAND,AM company / Independant,63.58,0.0,1350728.0,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship,fund already shows product-market fit in this country
EdR Fund Emerging Credit,new_allocation,24,BANQUE BONHÔTE | SWITZERLAND | Bank / Private Banking,BANQUE BONHÔTE,SWITZERLAND,Bank / Private Banking,63.33,0.0,41560.0,low current exposure leaves whitespace for a new sleeve,segment is a natural fit for this fund,large existing EdRAM relationship
EdR Fund Emerging Credit,new_allocation,25,MILLEIS BANQUE FRANCE | FRANCE | Bank / Private Banking,MILLEIS BANQUE FRANCE,FRANCE,Bank / Private Banking,62.96,0.0,1151523.0,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship,segment is a natural fit for this fund
EdR Fund Emerging Sovereign,defend,1,EDRAM FUNDS LUX / EDR F / BOND ALLOC – Rétro fonds EDRAM | LUXEMBOURG | AM company / EdR Fund of Funds,EDRAM FUNDS LUX / EDR F / BOND ALLOC – Rétro fonds EDRAM,LUXEMBOURG,AM company / EdR Fund of Funds,79.34,10045757.0,15950414.0,large installed holding in the target fund,target fund already matters within this relationship,large existing EdRAM relationship
EdR Fund Emerging Sovereign,defend,2,EDRAM FUNDS | WORLD | AM company / EdR Fund of Funds,EDRAM FUNDS,WORLD,AM company / EdR Fund of Funds,74.06,5586770.0,730478739.0,large installed holding in the target fund,large existing EdRAM relationship,broad wallet makes the relationship commercially important
EdR Fund Emerging Sovereign,defend,3,GENERALI VIE (DISTRIBUTION) | FRANCE | Insurance Company / Unit Link,GENERALI VIE (DISTRIBUTION),FRANCE,Insurance Company / Unit Link,73.43,13888453.0,309114994.0,large installed holding in the target fund,large existing EdRAM relationship,broad wallet makes the relationship commercially important
EdR Fund Emerging Sovereign,defend,4,GENERALI VIE (CGPI) | FRANCE | Insurance Company / Unit Link,GENERALI VIE (CGPI),FRANCE,Insurance Company / Unit Link,72.13,9258969.0,206051624.0,large installed holding in the target fund,large existing EdRAM relationship,broad wallet makes the relationship commercially important
EdR Fund Emerging Sovereign,defend,5,BANCA FINECO | ITALY | Bank / Retail,BANCA FINECO,ITALY,Bank / Retail,68.15,4079554.0,39911924.0,large installed holding in the target fund,large existing EdRAM relationship,broad wallet makes the relationship commercially important
EdR Fund Emerging Sovereign,defend,6,EDRAM FUNDS LUX / PRIVEE SELECT | LUXEMBOURG | AM company / EdR Fund of Funds,EDRAM FUNDS LUX / PRIVEE SELECT,LUXEMBOURG,AM company / EdR Fund of Funds,67.8,824437.0,33707295.0,large installed holding in the target fund,large existing EdRAM relationship,fund already shows product-market fit in this country
EdR Fund Emerging Sovereign,defend,7,EDR MONACO / Advisory | MONACO | Bank / EdR Private Banking,EDR MONACO / Advisory,MONACO,Bank / EdR Private Banking,66.67,2608427.0,62700392.0,large installed holding in the target fund,large existing EdRAM relationship,broad wallet makes the relationship commercially important
EdR Fund Emerging Sovereign,defend,8,SWISS LIFE ASSURANCE ET PATRIMOINE / Référencement | FRANCE | Insurance Company / Unit Link,SWISS LIFE ASSURANCE ET PATRIMOINE / Référencement,FRANCE,Insurance Company / Unit Link,65.91,1071023.0,103960174.0,large installed holding in the target fund,large existing EdRAM relationship,broad wallet makes the relationship commercially important
EdR Fund Emerging Sovereign,defend,9,BOURSORAMA | FRANCE | Bank / Online Broker,BOURSORAMA,FRANCE,Bank / Online Broker,65.41,1132804.0,30909499.0,large installed holding in the target fund,large existing EdRAM relationship,broad wallet makes the relationship commercially important
EdR Fund Emerging Sovereign,defend,10,VIE PLUS | FRANCE | Insurance Company / Unit Link,VIE PLUS,FRANCE,Insurance Company / Unit Link,65.16,717138.0,142008388.0,large installed holding in the target fund,large existing EdRAM relationship,broad wallet makes the relationship commercially important
EdR Fund Emerging Sovereign,defend,11,SURAVENIR DISTRIBUTION | FRANCE | Insurance Company / Unit Link,SURAVENIR DISTRIBUTION,FRANCE,Insurance Company / Unit Link,65.13,716510.0,195020622.0,large installed holding in the target fund,large existing EdRAM relationship,broad wallet makes the relationship commercially important
EdR Fund Emerging Sovereign,defend,12,RBC INVESTOR SERVICES BANK (LUXEMBOURG) S.A | LUXEMBOURG | Bank / Trading Platform,RBC INVESTOR SERVICES BANK (LUXEMBOURG) S.A,LUXEMBOURG,Bank / Trading Platform,64.18,415879.0,4014449.0,large installed holding in the target fund,large existing EdRAM relationship,fund already shows product-market fit in this country
EdR Fund Emerging Sovereign,defend,13,BANCA POPOLARE DEL LAZIO / ALLFUNDS | ITALY | AM company / Fund of Funds,BANCA POPOLARE DEL LAZIO / ALLFUNDS,ITALY,AM company / Fund of Funds,63.93,106850.0,110754.0,large installed holding in the target fund,target fund already matters within this relationship,large existing EdRAM relationship
EdR Fund Emerging Sovereign,defend,14,SPIRICA / FUND CHANNEL | FRANCE | Insurance Company / Unit Link,SPIRICA / FUND CHANNEL,FRANCE,Insurance Company / Unit Link,63.93,375862.0,77392864.0,large installed holding in the target fund,large existing EdRAM relationship,broad wallet makes the relationship commercially important
EdR Fund Emerging Sovereign,defend,15,SELENCIA / RETAIL | FRANCE | Insurance Company / Unit Link,SELENCIA / RETAIL,FRANCE,Insurance Company / Unit Link,63.79,565957.0,28038552.0,large installed holding in the target fund,large existing EdRAM relationship,broad wallet makes the relationship commercially important
EdR Fund Emerging Sovereign,defend,16,LA MONDIALE EUROPARTNER (ex LA HENIN VIE ET LA MONDIALE LUX) | LUXEMBOURG | Insurance Company / Unit Link,LA MONDIALE EUROPARTNER (ex LA HENIN VIE ET LA MONDIALE LUX),LUXEMBOURG,Insurance Company / Unit Link,63.69,53328.0,58295054.0,large installed holding in the target fund,large existing EdRAM relationship,broad wallet makes the relationship commercially important
EdR Fund Emerging Sovereign,defend,17,EDR MONACO / Not Managed | MONACO | Bank / EdR Private Banking,EDR MONACO / Not Managed,MONACO,Bank / EdR Private Banking,63.55,607479.0,70661190.0,large installed holding in the target fund,large existing EdRAM relationship,broad wallet makes the relationship commercially important
EdR Fund Emerging Sovereign,defend,18,FONDSDEPOT BANK GMBH | GERMANY | Bank / Trading Platform,FONDSDEPOT BANK GMBH,GERMANY,Bank / Trading Platform,63.4,349304.0,770503.0,large installed holding in the target fund,large existing EdRAM relationship,target fund already matters within this relationship
EdR Fund Emerging Sovereign,defend,19,"EDR FRANCE, PBIA PARIS / MANAGED | FRANCE | Bank / EdR Private Banking","EDR FRANCE, PBIA PARIS / MANAGED",FRANCE,Bank / EdR Private Banking,63.04,2358792.0,107369826.0,large installed holding in the target fund,large existing EdRAM relationship,broad wallet makes the relationship commercially important
EdR Fund Emerging Sovereign,defend,20,CARDIF ASSURANCE VIE (UC) / ALLFUNDS | FRANCE | Insurance Company / Unit Link,CARDIF ASSURANCE VIE (UC) / ALLFUNDS,FRANCE,Insurance Company / Unit Link,62.45,194539.0,113877129.0,large installed holding in the target fund,large existing EdRAM relationship,broad wallet makes the relationship commercially important
EdR Fund Emerging Sovereign,defend,21,INTERACTIVE BROKERS LLC / ALLFUNDS | UNITED STATES | Bank / Online Broker,INTERACTIVE BROKERS LLC / ALLFUNDS,UNITED STATES,Bank / Online Broker,62.41,92385.0,111107.0,large installed holding in the target fund,target fund already matters within this relationship,segment is a natural fit for this fund
EdR Fund Emerging Sovereign,defend,22,"EDR France, PBIA PARIS / Assurances Vie / Managed | FRANCE | Bank / EdR Private Banking","EDR France, PBIA PARIS / Assurances Vie / Managed",FRANCE,Bank / EdR Private Banking,61.95,485016.0,566310302.0,large installed holding in the target fund,large existing EdRAM relationship,broad wallet makes the relationship commercially important
EdR Fund Emerging Sovereign,defend,23,EDR MONACO | MONACO | Bank / EdR Private Banking,EDR MONACO,MONACO,Bank / EdR Private Banking,61.71,774800.0,17459585.0,large installed holding in the target fund,large existing EdRAM relationship,fund already shows product-market fit in this country
EdR Fund Emerging Sovereign,defend,24,EDR EUROPE - BP / Advisory | LUXEMBOURG | Bank / EdR Private Banking,EDR EUROPE - BP / Advisory,LUXEMBOURG,Bank / EdR Private Banking,61.7,207372.0,18229738.0,large installed holding in the target fund,large existing EdRAM relationship,fund already shows product-market fit in this country
EdR Fund Emerging Sovereign,defend,25,LA MONDIALE PARTENAIRE SA / Déposé EDRF | FRANCE | Insurance Company / Unit Link,LA MONDIALE PARTENAIRE SA / Déposé EDRF,FRANCE,Insurance Company / Unit Link,61.56,186787.0,32025714.0,large installed holding in the target fund,large existing EdRAM relationship,broad wallet makes the relationship commercially important
EdR Fund Emerging Sovereign,cross_sell,1,CNP LUXEMBOURG | LUXEMBOURG | Insurance Company / Unit Link,CNP LUXEMBOURG,LUXEMBOURG,Insurance Company / Unit Link,53.72,0.0,14782189.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EdR Fund Emerging Sovereign,cross_sell,2,SWISSQUOTE BANK SA - CUSTODIAN | SWITZERLAND | Bank / Online Broker,SWISSQUOTE BANK SA - CUSTODIAN,SWITZERLAND,Bank / Online Broker,52.68,0.0,-37510.0,client already uses adjacent sleeves/products,segment is a natural fit for this fund,broad wallet makes the relationship commercially important
EdR Fund Emerging Sovereign,cross_sell,3,CAISSE RÉGIONALE DE CRÉDIT MARITIME ATLANTIQUE | FRANCE | Bank / Retail,CAISSE RÉGIONALE DE CRÉDIT MARITIME ATLANTIQUE,FRANCE,Bank / Retail,50.73,0.0,12812084.0,segment is a natural fit for this fund,client already uses adjacent sleeves/products,large existing EdRAM relationship
EdR Fund Emerging Sovereign,cross_sell,4,EDRAM FUNDS LUX / Fonds Tiers non gérés (IFS) | LUXEMBOURG | AM company / EdR Fund of Funds,EDRAM FUNDS LUX / Fonds Tiers non gérés (IFS),LUXEMBOURG,AM company / EdR Fund of Funds,48.28,0.0,13382402.0,segment is a natural fit for this fund,large existing EdRAM relationship,fund already shows product-market fit in this country
EdR Fund Emerging Sovereign,cross_sell,5,LA MONDIALE PARTENAIRE SA | FRANCE | Insurance Company / Unit Link,LA MONDIALE PARTENAIRE SA,FRANCE,Insurance Company / Unit Link,47.35,0.0,5074499.0,segment is a natural fit for this fund,large existing EdRAM relationship,client already uses adjacent sleeves/products
EdR Fund Emerging Sovereign,cross_sell,6,TALENCE GESTION SGIIC S.A. | FRANCE | AM company / Fund of Funds,TALENCE GESTION SGIIC S.A.,FRANCE,AM company / Fund of Funds,47.33,0.0,-7964.0,client already uses adjacent sleeves/products,segment is a natural fit for this fund,large existing EdRAM relationship
